Expected(MWh)    Predicted LSTM(MWh)    Predicted EPİAŞ(MWh    Error LSTM(%)    Error EPİAŞ(%)
---------------  ---------------------  ---------------------  ---------------  ----------------
33866.85         33666.0390625          33563.0                0.59             0.9
32570.48         33072.51953125         32317.0                1.54             0.78
31644.84         32279.5703125          31547.0                2.01             0.31
31083.63         31715.140625           30999.0                2.03             0.27
30897.46         31385.19921875         30808.0                1.58             0.29
31143.59         31346.859375           30881.0                0.65             0.84
32093.52         31878.69921875         30921.0                0.67             3.65
34088.27         33908.8203125          32311.0                0.53             5.21
36765.49         36306.6796875          36612.0                1.25             0.42
39068.67         38737.4609375          39021.0                0.85             0.12
40397.08         39992.3203125          40103.0                1.0              0.73
40943.45         40249.1015625          40865.0                1.7              0.19
41157.28         40327.359375           39567.0                2.02             3.86
41346.42         39192.83984375         40286.0                5.21             2.56
41542.94         39764.48046875         41065.0                4.28             1.15
41574.99         40251.62890625         40594.0                3.18             2.36
41329.11         40037.0703125          40235.0                3.13             2.65
40928.51         39748.73828125         39728.0                2.88             2.93
40577.35         39304.76953125         39282.0                3.14             3.19
40229.63         38995.69140625         39634.0                3.07             1.48
39635.28         38981.26171875         38836.0                1.65             2.02
38663.01         38088.5703125          37772.0                1.49             2.3
37503.06         36716.578125           36819.0                2.1              1.82
36661.94         35616.80078125         35841.0                2.85             2.24
------------     ------------           ------------           ------------     ------------
Average Errors                                                 2.058            1.761
R^2                                                            0.943            0.954
------------     ------------           ------------           ------------     ------------
Time in sec.     187.505
