Expected(MWh)    Predicted LSTM(MWh)    Predicted EPİAŞ(MWh    Error LSTM(%)    Error EPİAŞ(%)
---------------  ---------------------  ---------------------  ---------------  ----------------
33866.85         32946.48828125         33563.0                2.72             0.9
32570.48         32124.490234375        32317.0                1.37             0.78
31644.84         31075.099609375        31547.0                1.8              0.31
31083.63         30489.51953125         30999.0                1.91             0.27
30897.46         30110.6796875          30808.0                2.55             0.29
31143.59         30127.98046875         30881.0                3.26             0.84
32093.52         30486.650390625        30921.0                5.01             3.65
34088.27         32079.75               32311.0                5.89             5.21
36765.49         34873.609375           36612.0                5.15             0.42
39068.67         38054.6796875          39021.0                2.6              0.12
40397.08         39235.91015625         40103.0                2.87             0.73
40943.45         39768.640625           40865.0                2.87             0.19
41157.28         40296.5390625          39567.0                2.09             3.86
41346.42         39492.6484375          40286.0                4.48             2.56
41542.94         40048.921875           41065.0                3.6              1.15
41574.99         40345.55859375         40594.0                2.96             2.36
41329.11         39927.48828125         40235.0                3.39             2.65
40928.51         39714.578125           39728.0                2.97             2.93
40577.35         39173.2109375          39282.0                3.46             3.19
40229.63         38685.37109375         39634.0                3.84             1.48
39635.28         38619.48828125         38836.0                2.56             2.02
38663.01         37424.859375           37772.0                3.2              2.3
37503.06         36152.44140625         36819.0                3.6              1.82
36661.94         35024.5                35841.0                4.47             2.24
------------     ------------           ------------           ------------     ------------
Average Errors                                                 3.276            1.761
R^2                                                            0.892            0.954
------------     ------------           ------------           ------------     ------------
Time in sec.     233.193
