Expected(MWh)    Predicted LSTM(MWh)    Predicted EPİAŞ(MWh)    Error LSTM(%)    Error EPİAŞ(%)
---------------  ---------------------  ----------------------  ---------------  ----------------
33866.85         33258.87890625         33563.0                 1.8              0.9
32570.48         31845.0390625          32317.0                 2.23             0.78
31644.84         30780.8203125          31547.0                 2.73             0.31
31083.63         30090.19921875         30999.0                 3.2              0.27
30897.46         29854.619140625        30808.0                 3.38             0.29
31143.59         30128.189453125        30881.0                 3.26             0.84
32093.52         31159.859375           30921.0                 2.91             3.65
34088.27         33119.71875            32311.0                 2.84             5.21
36765.49         35340.80078125         36612.0                 3.88             0.42
39068.67         37236.30859375         39021.0                 4.69             0.12
40397.08         38573.23828125         40103.0                 4.51             0.73
40943.45         39244.4609375          40865.0                 4.15             0.19
41157.28         39459.51953125         39567.0                 4.13             3.86
41346.42         39280.828125           40286.0                 5.0              2.56
41542.94         39281.08984375         41065.0                 5.44             1.15
41574.99         39555.171875           40594.0                 4.86             2.36
41329.11         39820.7890625          40235.0                 3.65             2.65
40928.51         39940.37109375         39728.0                 2.41             2.93
40577.35         39726.8984375          39282.0                 2.1              3.19
40229.63         39255.421875           39634.0                 2.42             1.48
39635.28         38593.078125           38836.0                 2.63             2.02
38663.01         37649.421875           37772.0                 2.62             2.3
37503.06         36478.51171875         36819.0                 2.73             1.82
36661.94         35197.80078125         35841.0                 3.99             2.24
------------     ------------           ------------            ------------     ------------
Average Errors                                                  3.398            1.761
R^2                                                             0.880            0.954
------------     ------------           ------------            ------------     ------------
Time in sec.     47.305
