Expected(MWh)    Predicted LSTM(MWh)    Predicted EPİAŞ(MWh    Error LSTM(%)    Error EPİAŞ(%)
---------------  ---------------------  ---------------------  ---------------  ----------------
33866.85         33572.0                33563.0                0.87             0.9
32570.48         32406.640625           32317.0                0.5              0.78
31644.84         31550.380859375        31547.0                0.3              0.31
31083.63         31029.2109375          30999.0                0.18             0.27
30897.46         30733.240234375        30808.0                0.53             0.29
31143.59         30752.869140625        30881.0                1.25             0.84
32093.52         31190.490234375        30921.0                2.81             3.65
34088.27         33214.98046875         32311.0                2.56             5.21
36765.49         35263.140625           36612.0                4.09             0.42
39068.67         37875.73828125         39021.0                3.05             0.12
40397.08         39362.1484375          40103.0                2.56             0.73
40943.45         39583.80859375         40865.0                3.32             0.19
41157.28         39880.7890625          39567.0                3.1              3.86
41346.42         39891.8203125          40286.0                3.52             2.56
41542.94         40046.1015625          41065.0                3.6              1.15
41574.99         40147.73828125         40594.0                3.43             2.36
41329.11         39895.51171875         40235.0                3.47             2.65
40928.51         39578.890625           39728.0                3.3              2.93
40577.35         39239.4609375          39282.0                3.3              3.19
40229.63         38804.6484375          39634.0                3.54             1.48
39635.28         38525.30859375         38836.0                2.8              2.02
38663.01         37863.1484375          37772.0                2.07             2.3
37503.06         36787.078125           36819.0                1.91             1.82
36661.94         35144.83984375         35841.0                4.14             2.24
------------     ------------           ------------           ------------     ------------
Average Errors                                                 2.508            1.761
R^2                                                            0.922            0.954
------------     ------------           ------------           ------------     ------------
Time in sec.     181.98
