Expected(MWh)    Predicted LSTM(MWh)    Predicted EPİAŞ(MWh    Error LSTM(%)    Error EPİAŞ(%)
---------------  ---------------------  ---------------------  ---------------  ----------------
33866.85         32959.66015625         33563.0                2.68             0.9
32570.48         32708.599609375        32317.0                0.42             0.78
31644.84         31372.779296875        31547.0                0.86             0.31
31083.63         30826.359375           30999.0                0.83             0.27
30897.46         30563.439453125        30808.0                1.08             0.29
31143.59         30728.880859375        30881.0                1.33             0.84
32093.52         31339.7890625          30921.0                2.35             3.65
34088.27         32440.759765625        32311.0                4.83             5.21
36765.49         35001.19921875         36612.0                4.8              0.42
39068.67         38183.12109375         39021.0                2.27             0.12
40397.08         38911.83984375         40103.0                3.68             0.73
40943.45         39857.01953125         40865.0                2.65             0.19
41157.28         39730.62890625         39567.0                3.47             3.86
41346.42         39097.078125           40286.0                5.44             2.56
41542.94         40361.421875           41065.0                2.84             1.15
41574.99         40261.2109375          40594.0                3.16             2.36
41329.11         39956.01953125         40235.0                3.32             2.65
40928.51         39422.1796875          39728.0                3.68             2.93
40577.35         39325.5703125          39282.0                3.08             3.19
40229.63         38791.80078125         39634.0                3.57             1.48
39635.28         39085.62890625         38836.0                1.39             2.02
38663.01         37675.671875           37772.0                2.55             2.3
37503.06         36647.25               36819.0                2.28             1.82
36661.94         35327.1015625          35841.0                3.64             2.24
------------     ------------           ------------           ------------     ------------
Average Errors                                                 2.758            1.761
R^2                                                            0.909            0.954
------------     ------------           ------------           ------------     ------------
Time in sec.     380.804
