date,consumption,lep
2018-01-01 00:00:00+03:00,27412.81,28000
2018-01-01 01:00:00+03:00,26324.39,26000
2018-01-01 02:00:00+03:00,24635.32,25000
2018-01-01 03:00:00+03:00,23872.12,23000
2018-01-01 04:00:00+03:00,23194.89,23000
2018-01-01 05:00:00+03:00,23071.96,22500
2018-01-01 06:00:00+03:00,23267.9,23000
2018-01-01 07:00:00+03:00,23875.44,23100
2018-01-01 08:00:00+03:00,24346.96,23200
2018-01-01 09:00:00+03:00,25804.69,24000
2018-01-01 10:00:00+03:00,27364.91,26000
2018-01-01 11:00:00+03:00,28493.42,28000
2018-01-01 12:00:00+03:00,28880.29,28100
2018-01-01 13:00:00+03:00,29118.33,29000
2018-01-01 14:00:00+03:00,29237.76,29100
2018-01-01 15:00:00+03:00,29229.75,29000
2018-01-01 16:00:00+03:00,29838.46,30000
2018-01-01 17:00:00+03:00,31652.85,31000
2018-01-01 18:00:00+03:00,33211.3,33000
2018-01-01 19:00:00+03:00,33116.79,33000
2018-01-01 20:00:00+03:00,32513.89,32000
2018-01-01 21:00:00+03:00,31854.4,31200
2018-01-01 22:00:00+03:00,31576.27,31000
2018-01-01 23:00:00+03:00,30232.78,29800
2018-01-02 00:00:00+03:00,28490.89,29800
2018-01-02 01:00:00+03:00,26874.88,29700
2018-01-02 02:00:00+03:00,25720.24,28700
2018-01-02 03:00:00+03:00,25228.53,28000
2018-01-02 04:00:00+03:00,25078.49,27700
2018-01-02 05:00:00+03:00,25425.05,28100
2018-01-02 06:00:00+03:00,26807.84,29200
2018-01-02 07:00:00+03:00,30233.52,32500
2018-01-02 08:00:00+03:00,35197.43,37400
2018-01-02 09:00:00+03:00,38012.57,39600
2018-01-02 10:00:00+03:00,38465.99,39800
2018-01-02 11:00:00+03:00,38771.31,39700
2018-01-02 12:00:00+03:00,37003.68,37100
2018-01-02 13:00:00+03:00,37079.08,37200
2018-01-02 14:00:00+03:00,37526.81,37600
2018-01-02 15:00:00+03:00,37456.4,37600
2018-01-02 16:00:00+03:00,38143.53,38700
2018-01-02 17:00:00+03:00,39505.13,40300
2018-01-02 18:00:00+03:00,39185.52,40300
2018-01-02 19:00:00+03:00,38305.63,39100
2018-01-02 20:00:00+03:00,36851.62,38300
2018-01-02 21:00:00+03:00,36215.04,37400
2018-01-02 22:00:00+03:00,35600.45,36800
2018-01-02 23:00:00+03:00,34096.01,35000
2018-01-03 00:00:00+03:00,31728.66,31700
2018-01-03 01:00:00+03:00,30060.8,30000
2018-01-03 02:00:00+03:00,28899.26,28900
2018-01-03 03:00:00+03:00,28335.47,28300
2018-01-03 04:00:00+03:00,28029.61,28000
2018-01-03 05:00:00+03:00,28375.97,28200
2018-01-03 06:00:00+03:00,29531.67,29400
2018-01-03 07:00:00+03:00,32597.84,32500
2018-01-03 08:00:00+03:00,36457.21,36400
2018-01-03 09:00:00+03:00,38899.44,38400
2018-01-03 10:00:00+03:00,39747.82,39300
2018-01-03 11:00:00+03:00,39695.23,39200
2018-01-03 12:00:00+03:00,38067.93,37600
2018-01-03 13:00:00+03:00,38920.93,37800
2018-01-03 14:00:00+03:00,39206.1,38100
2018-01-03 15:00:00+03:00,39288.22,37100
2018-01-03 16:00:00+03:00,39748.15,37600
2018-01-03 17:00:00+03:00,40351.67,39000
2018-01-03 18:00:00+03:00,39809.04,38800
2018-01-03 19:00:00+03:00,38624.38,37700
2018-01-03 20:00:00+03:00,37663.29,36600
2018-01-03 21:00:00+03:00,36711.56,35700
2018-01-03 22:00:00+03:00,36179.8,35100
2018-01-03 23:00:00+03:00,34687.47,34000
2018-01-04 00:00:00+03:00,32247.24,32500
2018-01-04 01:00:00+03:00,30507.55,30600
2018-01-04 02:00:00+03:00,29277.55,29600
2018-01-04 03:00:00+03:00,28692.12,28800
2018-01-04 04:00:00+03:00,28314.05,28800
2018-01-04 05:00:00+03:00,28743.63,28900
2018-01-04 06:00:00+03:00,30033.91,30200
2018-01-04 07:00:00+03:00,33167.33,32700
2018-01-04 08:00:00+03:00,36975.36,36900
2018-01-04 09:00:00+03:00,39641.36,39300
2018-01-04 10:00:00+03:00,40593.83,39600
